,batter_name,hho,hho/bbe,hho/pa,hho/ab,hho/hh
73, Justin Turner,96,21.768707482993197,15.686274509803921,17.97752808988764,51.33689839572193
74, Trea Turner,100,20.449897750511248,15.479876160990713,16.80672268907563,44.24778761061947
75, Corey Seager,72,24.82758620689655,17.6039119804401,20.33898305084746,50.349650349650354
76, Max Muncy,87,23.015873015873016,14.695945945945946,17.50503018108652,49.43181818181818
77, Eric Hosmer,105,25.423728813559322,18.58407079646018,20.6286836935167,54.123711340206185
78, Buster Posey,49,15.806451612903224,10.79295154185022,12.40506329113924,40.16393442622951
79, LaMonte Wade Jr.,54,21.25984251968504,14.173228346456693,16.071428571428573,50.943396226415096
80, Wilmer Flores,53,15.773809523809524,12.155963302752294,13.624678663239074,44.537815126050425
81, Adam Frazier,64,12.5,10.015649452269171,11.091854419410744,49.6124031007752
82, Wil Myers,49,16.065573770491802,9.8,11.085972850678733,42.241379310344826
83, Jake Cronenworth,85,17.598343685300208,13.21928460342146,14.991181657848324,50.29585798816568
84, Jurickson Profar,50,17.18213058419244,12.135922330097088,14.164305949008499,56.81818181818182
85, Trent Grisham,63,18.103448275862068,11.954459203036052,13.636363636363635,49.21875
86, Mike Yastrzemski,61,17.888563049853374,11.466165413533833,13.034188034188036,45.52238805970149
87, Kris Bryant,75,19.736842105263158,12.798634812286688,14.619883040935672,49.34210526315789
88, Brandon Crawford,77,20.10443864229765,14.025500910746814,15.942028985507244,46.3855421686747
89, Manny Machado,134,28.32980972515856,20.9375,23.75886524822695,54.25101214574899
90, Fernando Tatis Jr.,86,26.13981762917933,15.75091575091575,17.99163179916318,46.994535519125684
91, Tommy Pham,89,25.356125356125357,15.86452762923351,18.736842105263158,53.293413173652695
92, Bryan Reynolds,80,18.01801801801802,12.38390092879257,14.311270125223613,44.19889502762431
93, Eugenio Suárez,62,18.289085545722713,10.801393728222997,12.25296442687747,45.925925925925924
94, Joey Votto,82,25.23076923076923,15.384615384615385,18.303571428571427,47.398843930635834
95, Jonathan India,59,14.898989898989898,9.350237717908081,11.090225563909774,38.56209150326798
96, Kevin Newman,78,16.082474226804123,14.079422382671481,15.087040618955513,61.904761904761905
97, Tyler Stephenson,56,20.0,13.930348258706468,15.954415954415953,52.336448598130836
98, Nick Castellanos,82,19.71153846153846,14.017094017094017,15.44256120527307,42.05128205128205
99, Aaron Judge,112,28.211586901763226,17.69352290679305,20.363636363636363,48.69565217391305
100, Anthony Rizzo,86,20.77294685990338,14.930555555555555,17.338709677419356,50.588235294117645
101, Gleyber Torres,67,18.559556786703602,12.984496124031008,14.596949891067537,51.93798449612403
102, Manuel Margot,79,22.191011235955056,17.025862068965516,18.76484560570071,55.24475524475524
103, Joey Wendle,54,15.428571428571427,10.778443113772456,11.73913043478261,44.62809917355372
104, Gary Sánchez,56,21.374045801526716,12.727272727272727,14.621409921671018,50.90909090909091
105, Brett Gardner,49,16.44295302013423,10.629067245119305,12.661498708010335,50.0
106, Gio Urshela,66,21.153846153846153,14.93212669683258,15.714285714285714,50.38167938931297
