,batter_name,hho,bbe,hho/bbe,barrels,brl_percent,brl_pa,hh,hh/bbe,ab,hho/pa,pa,ba,est_ba,ba_dif,slg,est_slg,slg_dif,woba,est_woba,woba_dif,hho/hh,barrels/ab,hho/ab
192, Anthony Santander,69,310,22.258064516129032,26,8.4,5.9,135,43.5,406,15.753424657534246,438,0.241,0.269,-0.028,0.433,0.446,-0.013,0.307,0.328,-0.021,51.11111111111111,6.403940886699508,16.995073891625616
193, Elvis Andrus,81,423,19.148936170212767,9,2.1,1.7,147,34.8,497,14.972273567467653,541,0.243,0.273,-0.03,0.32,0.375,-0.0549999999999999,0.27,0.308,-0.0379999999999999,55.10204081632652,1.8108651911468814,16.297786720321934
194, Jed Lowrie,82,353,23.229461756373937,33,9.3,6.4,162,45.9,458,16.015625,512,0.245,0.259,-0.014,0.398,0.464,-0.066,0.311,0.343,-0.032,50.617283950617285,7.20524017467249,17.903930131004365
195, Jesse Winker,78,348,22.413793103448278,39,11.2,8.0,164,47.1,423,16.082474226804123,485,0.305,0.295,0.01,0.556,0.524,0.032,0.403,0.39,0.013,47.5609756097561,9.219858156028367,18.439716312056735
196, Nick Ahmed,44,333,13.213213213213212,8,2.4,1.7,93,27.9,435,9.30232558139535,473,0.221,0.208,0.013,0.339,0.29,0.049,0.269,0.249,0.02,47.31182795698925,1.839080459770115,10.114942528735632
197, Jason Heyward,60,255,23.52941176470588,12,4.7,3.4,108,42.4,323,16.997167138810198,353,0.214,0.234,-0.02,0.347,0.367,-0.02,0.275,0.294,-0.0189999999999999,55.55555555555556,3.7151702786377707,18.575851393188856
198, Tyler Naquin,52,308,16.883116883116884,32,10.4,7.0,128,41.6,411,11.45374449339207,454,0.27,0.264,0.006,0.477,0.459,0.0179999999999999,0.345,0.34,0.0049999999999999,40.625,7.785888077858881,12.652068126520682
199, Jesús Aguilar,78,363,21.487603305785125,31,8.5,6.1,149,41.0,450,15.294117647058824,510,0.261,0.26,0.001,0.459,0.453,0.006,0.334,0.334,0.0,52.348993288590606,6.888888888888889,17.333333333333336
200, Rhys Hoskins,59,283,20.848056537102476,48,17.0,10.8,131,46.3,389,13.31828442437923,443,0.247,0.249,-0.002,0.53,0.564,-0.0339999999999999,0.364,0.378,-0.014,45.038167938931295,12.339331619537274,15.167095115681233
201, Maikel Franco,55,313,17.57188498402556,16,5.1,4.0,106,33.9,377,13.647642679900745,403,0.21,0.224,-0.014,0.355,0.344,0.011,0.263,0.27,-0.007,51.886792452830186,4.244031830238726,14.588859416445624
202, Starlin Castro,51,257,19.844357976653697,14,5.4,4.0,103,40.1,315,14.739884393063585,346,0.283,0.272,0.0109999999999999,0.375,0.412,-0.0369999999999999,0.309,0.324,-0.015,49.51456310679612,4.444444444444445,16.19047619047619
